sample	ID	part
Pw_25183_10	25183	lungs
Pw_25183_4	25183	tail
Pw_25183_5	25183	spleen
Pw_25183_6	25183	intestine
Pw_25183_7	25183	liver
Pw_25183_8	25183	heart
Pw_25200_1	25200	head
Pw_25200_2	25200	middle
Pw_25204_3	25204	tail
Pw_25215_1	25215	head
Pw_25215_2	25215	middle
Pw_25215_3	25215	tail
Pw_25219_1	25219	head
Pw_25219_2	25219	middle
Pw_25219_3	25219	tail
Pw_25219_4	25219	organs
Pw_25231_1	25231	head
Pw_25231_2	25231	middle
Pw_25231_3	25231	tail
Pw_25231_4	25231	intestine
Pw_25231_5	25231	spleen
Pw_25428_1	25428	head
Pw_25428_2AC	25428	middle_skin_spine
Pw_25428_2B	25428	middle_organs
Pw_25428_3	25428	tail
Pw_25428_4	25428	intestine
Pw_25428_5	25428	spleen
Pw_25463_1	25463	head
Pw_25463_2A	25463	middle_skin_spine
Pw_25463_2B	25463	middle_organs
Pw_25463_3	25463	tail
Pw_25463_4	25463	intestine
Pw_25463_5	25463	spleen
Pw_25487_3	25487	tail
Pw_25487_4	25487	intestine
Pw_25487_5	25487	spleen
Pw_25488_3	25488	tail
Pw_25488_4	25488	intestine
Pw_25488_5	25488	spleen
Pw_25488_6	25488	heart
Pw_25488_7	25488	liver
