# Program:featureCounts v2.0.8; Command:"/home/krystian.budzik/bin/featureCounts" "-a" "gene_id_CDS_exon.gtf" "-o" "tlr_counts_fc.txt" "-t" "CDS" "-g" "gene_id" "-s" "0" "-p" "-B" "--countReadPairs" "-T" "4" "./bams/Pw_25183_10.bam" "./bams/Pw_25183_4.bam" "./bams/Pw_25183_5.bam" "./bams/Pw_25183_6.bam" "./bams/Pw_25183_7.bam" "./bams/Pw_25183_8.bam" "./bams/Pw_25200_1.bam" "./bams/Pw_25200_2.bam" "./bams/Pw_25204_3.bam" "./bams/Pw_25215_1.bam" "./bams/Pw_25215_2.bam" "./bams/Pw_25215_3.bam" "./bams/Pw_25219_1.bam" "./bams/Pw_25219_2.bam" "./bams/Pw_25219_3.bam" "./bams/Pw_25219_4.bam" "./bams/Pw_25231_1.bam" "./bams/Pw_25231_2.bam" "./bams/Pw_25231_3.bam" "./bams/Pw_25231_4.bam" "./bams/Pw_25231_5.bam" "./bams/Pw_25428_1.bam" "./bams/Pw_25428_2AC.bam" "./bams/Pw_25428_2B.bam" "./bams/Pw_25428_3.bam" "./bams/Pw_25428_4.bam" "./bams/Pw_25428_5.bam" "./bams/Pw_25463_1.bam" "./bams/Pw_25463_2A.bam" "./bams/Pw_25463_2B.bam" "./bams/Pw_25463_3.bam" "./bams/Pw_25463_4.bam" "./bams/Pw_25463_5.bam" "./bams/Pw_25487_3.bam" "./bams/Pw_25487_4.bam" "./bams/Pw_25487_5.bam" "./bams/Pw_25488_3.bam" "./bams/Pw_25488_4.bam" "./bams/Pw_25488_5.bam" "./bams/Pw_25488_6.bam" "./bams/Pw_25488_7.bam" 
Geneid	Chr	Start	End	Strand	Length	./bams/Pw_25183_10.bam	./bams/Pw_25183_4.bam	./bams/Pw_25183_5.bam	./bams/Pw_25183_6.bam	./bams/Pw_25183_7.bam	./bams/Pw_25183_8.bam	./bams/Pw_25200_1.bam	./bams/Pw_25200_2.bam	./bams/Pw_25204_3.bam	./bams/Pw_25215_1.bam	./bams/Pw_25215_2.bam	./bams/Pw_25215_3.bam	./bams/Pw_25219_1.bam	./bams/Pw_25219_2.bam	./bams/Pw_25219_3.bam	./bams/Pw_25219_4.bam	./bams/Pw_25231_1.bam	./bams/Pw_25231_2.bam	./bams/Pw_25231_3.bam	./bams/Pw_25231_4.bam	./bams/Pw_25231_5.bam	./bams/Pw_25428_1.bam	./bams/Pw_25428_2AC.bam	./bams/Pw_25428_2B.bam	./bams/Pw_25428_3.bam	./bams/Pw_25428_4.bam	./bams/Pw_25428_5.bam	./bams/Pw_25463_1.bam	./bams/Pw_25463_2A.bam	./bams/Pw_25463_2B.bam	./bams/Pw_25463_3.bam	./bams/Pw_25463_4.bam	./bams/Pw_25463_5.bam	./bams/Pw_25487_3.bam	./bams/Pw_25487_4.bam	./bams/Pw_25487_5.bam	./bams/Pw_25488_3.bam	./bams/Pw_25488_4.bam	./bams/Pw_25488_5.bam	./bams/Pw_25488_6.bam	./bams/Pw_25488_7.bam
TLR2	manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b	707117876;707117876;707117876;707117876;707117876;707207412;707207412;707207412;707207412;707207412	707117922;707117922;707117922;707117922;707117922;707209824;707209824;707209824;707209824;707209824	+;+;+;+;+;+;+;+;+;+	2460	271	138	150	23	9	24	136	74	110	91	44	41	88	37	87	45	118	23	91	60	44	121	72	41	57	50	43	71	51	37	30	49	136	34	48	89	81	40	138	16	9
TLR3	manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b	893511994;893511994;893511994;893596893;893601650;893601650;893601650;893601650;893647396;893647396;893647396;893647396;893704901;893704901;893704901;893704901	893512437;893512437;893512437;893596934;893601841;893601841;893601841;893601841;893649236;893649236;893649236;893649236;893705126;893705126;893705126;893705126	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2745	392	586	256	149	17	209	260	132	267	119	71	159	172	116	383	172	289	112	509	202	577	288	265	291	325	106	704	156	139	201	277	127	418	271	109	234	281	84	182	204	65
LOC138247518	manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b;manual_scaffold_1b	1027366579;1027391588;1027423753;1027427521;1027427521;1027427521;1027427521	1027366629;1027391642;1027423970;1027429878;1027429878;1027429878;1027429878	+;+;+;+;+;+;+	2682	56	35	578	50	3	43	25	12	10	24	8	32	38	17	31	28	32	8	33	49	36	87	30	38	40	34	79	32	8	37	14	43	249	45	140	329	50	63	226	4	14
LOC138247579	manual_scaffold_1b;manual_scaffold_1b	1027525694;1027525694	1027528099;1027528099	-;-	2406	32	5	431	8	13	38	10	6	8	6	9	10	6	5	13	14	7	6	5	13	133	24	5	30	7	12	116	14	16	30	21	17	372	2	17	170	4	17	318	25	27
TLR5	manual_scaffold_5;manual_scaffold_5;manual_scaffold_5;manual_scaffold_5	157127660;157287493;157321090;157321090	157127709;157287518;157323706;157323706	+;+;+;+	2693	51	13	49	62	43	11	32	10	24	25	30	13	17	20	11	31	30	7	19	49	25	24	13	34	11	56	26	17	6	24	11	26	25	9	39	18	12	74	13	11	50
LOC138301399	manual_scaffold_6	1704623195	1704626059	-	2865	12	3	446	3	24	35	0	6	0	5	3	0	2	1	0	4	0	1	1	0	15	2	4	22	0	5	18	0	1	17	1	1	91	5	4	117	2	1	114	11	15
LOC138301819	manual_scaffold_6	1704682499	1704685291	-	2793	3	0	6	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	7	0	0	4	1	0	2	1	0	3	1	0	8	0	0
LOC138301820	manual_scaffold_6	1704933719	1704936577	-	2859	7	5	296	8	19	15	0	5	1	2	4	0	2	4	1	13	0	3	4	16	77	8	0	7	0	3	104	2	4	14	2	17	314	2	13	244	1	7	167	3	16
LOC138304494	manual_scaffold_7	637191038	637193896	+	2859	1	10	19	3	56	5	2	4	2	6	5	7	5	5	7	5	9	5	9	1	1	8	2	5	0	8	2	2	1	26	6	13	14	19	9	14	4	3	1	0	36
LOC138246263	manual_scaffold_7;manual_scaffold_7	1336291052;1336321122	1336293744;1336321281	+;+	2853	77	44	181	111	91	38	125	76	35	90	93	78	73	38	52	126	33	33	32	119	42	82	17	156	19	205	53	22	18	170	26	188	116	22	218	57	35	170	28	38	95
LOC138246658	manual_scaffold_7;manual_scaffold_7	1533113936;1533113936	1533116797;1533116797	-;-	2862	65	78	97	145	33	12	20	136	3	48	36	23	61	49	12	31	33	16	12	360	95	124	38	97	28	295	234	40	30	103	19	209	116	161	442	195	138	329	202	22	61
